file_name,obj_class,volume,surface_area,diameter,eccentricity,compactness,rectangularity,convexity,elongation,A3,D1,D2,D3,D4,global_score,local_score,final_score
D00377.obj,Car,-1.1386923901393353,-1.1174968071519795,-0.9461259672837693,-0.3072369394701791,-0.875768757687577,-1.1095499683076273,-1.2683344756682662,-0.8701800697652493,-1.2121212121212122,-1.5671641791044775,-1.5,-1.2452830188679247,-1.492537313432836,-2.2900156126421947,-4.9119740064685145,-7.201989619110709
m1539.obj,Car,-1.1163987138263667,-1.123350361856109,-0.8961700460378098,-0.30671895811750777,-0.8646986469864699,-1.1032114937671667,-1.2683344756682662,-0.8671631941170924,-1.1969696969696968,-1.537313432835821,-1.4761904761904763,-1.3207547169811322,-1.3880597014925373,-2.263813767113036,-4.843501617128764,-7.1073153842418
D00504.obj,Car,-0.845230439442658,-0.7730949340144742,-0.730727789205603,-0.302871096640521,-0.5907843693821555,-1.1080709909148532,-1.2683344756682662,-0.6895446403318563,-1.0454545454545454,-1.1194029850746268,-1.2619047619047619,-1.0943396226415096,-1.5074626865671643,-1.892597620680116,-4.2199952211498255,-6.112592841829942
m1542.obj,Car,-1.1071811361200428,-1.0549169859514687,-0.8542462533059066,-0.28703566671599823,-0.733655028857981,-0.6131417705472216,-1.2683344756682662,-0.827943810691053,-1.0151515151515151,-1.253731343283582,-1.1190476190476188,-1.1320754716981132,-1.1940298507462686,-2.0239365383573813,-3.999825059948968,-6.023761598306349
m1495.obj,Car,-1.0969989281886388,-1.0145806726266497,-0.9025369771770008,-0.30368506733757583,-0.6163307786924023,-0.5980350728924573,-1.2683344756682662,-0.8748939379654944,-1.0909090909090908,-0.5373134328358208,-1.2857142857142858,-1.0754716981132075,-1.3134328358208955,-2.0026187731645453,-3.71198894037531,-5.714607713539856
m1516.obj,Car,-1.0437299035369774,-1.061941251596424,-0.6926241551572142,-0.30301909131271276,-0.6377140694483868,-1.0125713078385803,-1.2683344756682662,-0.6690864523427925,-0.9545454545454546,-0.9402985074626864,-1.0714285714285714,-0.9622641509433963,-1.3283582089552237,-2.0067062120704064,-3.679826425334732,-5.686532637405138
m1540.obj,Car,-0.8305466237942122,-0.8718603661132396,-0.49975511803310807,-0.3015391445907948,-0.7943987132179015,-1.0606380731037397,-1.2683344756682662,-0.5776374092580372,-0.8787878787878788,-0.7014925373134328,-1.4047619047619049,-1.0754716981132075,-1.4029850746268657,-1.8614129771337895,-3.8244493655223026,-5.685862342656092
D00608.obj,TruckNonContainer,-0.9764201500535905,-0.9099616858237548,-0.8467038887256343,-0.2804499038034631,-0.6863468634686347,-0.6108176632157195,-1.2683344756682662,-0.870557179221269,-1.121212121212121,-0.6268656716417909,-1.1904761904761905,-1.1698113207547172,-1.1940298507462686,-1.9348775429940994,-3.711676608381761,-5.64655415137586
D00527.obj,Cellphone,-0.5609860664523043,-0.7277564921243082,-0.8303457733372515,-0.30523901139558973,-0.885608856088561,-1.0933868582294528,-1.2683344756682662,-0.8547185820684453,-0.606060606060606,-1.2238805970149251,-1.4047619047619049,-1.2264150943396228,-0.791044776119403,-1.9579128346092536,-3.6765140848075233,-5.634426919416777
D00793.obj,Car,-0.6314040728831725,-0.5533205619412517,-0.8442550690567148,-0.29043954417640966,-0.4540637714069449,-0.36646946968096344,-1.2683344756682662,-0.75846139341944,-1.106060606060606,-0.8208955223880595,-1.2380952380952381,-1.3018867924528303,-1.3283582089552237,-1.5500245074699488,-4.05670745756637,-5.606731965036319
m1518.obj,Car,-0.5577706323687031,-0.52767134951043,-0.82064844744833,-0.296877312416753,-0.48803103415649546,-0.40935981407141353,-1.2683344756682662,-0.6709719996228906,-1.0151515151515151,-1.0149253731343282,-1.3095238095238095,-1.0188679245283019,-1.417910447761194,-1.5118995195789846,-4.043465349069404,-5.555364868648389
m1498.obj,Car,-0.9336548767416933,-0.8352490421455938,-0.832402781859144,-0.3070149474618914,0.15848235405430977,-1.107437143460807,-1.2683344756682662,-0.3821061563118695,-0.9242424242424242,-1.2686567164179103,-1.2857142857142858,-0.8867924528301889,-1.119402985074627,-1.6523151208784865,-3.839366204995605,-5.491681325874092
